chr	start	end	strand	ens_id	description	symbol	miRBase_ID
chr14	54878113	54878193	-	ENSG00000265432	microRNA 4308 [Source:HGNC Symbol;Acc:HGNC:38206]	MIR4308	hsa-mir-4308
chr14	59646962	59647020	-	ENSG00000263629	microRNA 5586 [Source:HGNC Symbol;Acc:HGNC:43493]	MIR5586	hsa-mir-5586
chr14	64095024	64095125	-	ENSG00000221537	microRNA 548h-1 [Source:HGNC Symbol;Acc:HGNC:35342]	MIR548H1	hsa-mir-548h-1
chr14	64785626	64785686	-	ENSG00000284269	microRNA 7855 [Source:HGNC Symbol;Acc:HGNC:50244]	MIR7855	hsa-mir-7855
chr14	65044688	65044769	+	ENSG00000266531	microRNA 4706 [Source:HGNC Symbol;Acc:HGNC:41576]	MIR4706	hsa-mir-4706
chr14	65335117	65335183	-	ENSG00000266740	microRNA 4708 [Source:HGNC Symbol;Acc:HGNC:41824]	MIR4708	hsa-mir-4708
chr14	65471102	65471186	+	ENSG00000207781	microRNA 625 [Source:HGNC Symbol;Acc:HGNC:32881]	MIR625	hsa-mir-625
chr14	67441855	67441930	-	ENSG00000265993	microRNA 5694 [Source:HGNC Symbol;Acc:HGNC:43530]	MIR5694	hsa-mir-5694
chr14	72516820	72516898	+	ENSG00000273830	microRNA 7843 [Source:HGNC Symbol;Acc:HGNC:50074]	MIR7843	hsa-mir-7843
chr14	73758747	73758819	+	ENSG00000264741	microRNA 4505 [Source:HGNC Symbol;Acc:HGNC:41743]	MIR4505	hsa-mir-4505
chr14	74480133	74480204	-	ENSG00000283944	microRNA 4709 [Source:HGNC Symbol;Acc:HGNC:41690]	MIR4709	hsa-mir-4709
chr14	75604209	75604261	+	ENSG00000280494	microRNA 7641-2 [Source:HGNC Symbol;Acc:HGNC:50214]	MIR7641-2	hsa-mir-7641-2
chr14	77266218	77266290	+	ENSG00000221754	microRNA 1260a [Source:HGNC Symbol;Acc:HGNC:35325]	MIR1260A	hsa-mir-1260a
chr14	93948226	93948302	-	ENSG00000265768	microRNA 4506 [Source:HGNC Symbol;Acc:HGNC:41663]	MIR4506	hsa-mir-4506
chr14	95137919	95137986	-	ENSG00000264607	microRNA 3173 [Source:HGNC Symbol;Acc:HGNC:38174]	MIR3173	hsa-mir-3173
chr14	100109419	100109514	-	ENSG00000265154	microRNA 151b [Source:HGNC Symbol;Acc:HGNC:41588]	MIR151B	hsa-mir-151b
chr14	100109655	100109753	+	ENSG00000199082	microRNA 342 [Source:HGNC Symbol;Acc:HGNC:31778]	MIR342	hsa-mir-342
chr14	100277357	100277417	+	ENSG00000283840	microRNA 6764 [Source:HGNC Symbol;Acc:HGNC:49994]	MIR6764	hsa-mir-6764
chr14	100307859	100307956	+	ENSG00000198984	microRNA 345 [Source:HGNC Symbol;Acc:HGNC:31779]	MIR345	hsa-mir-345
chr14	100814491	100814574	+	ENSG00000266461	microRNA 2392 [Source:HGNC Symbol;Acc:HGNC:41843]	MIR2392	hsa-mir-2392
chr14	100852390	100852487	+	ENSG00000211574	microRNA 770 [Source:HGNC Symbol;Acc:HGNC:33143]	MIR770	hsa-mir-770
chr14	100869060	100869148	+	ENSG00000207989	microRNA 493 [Source:HGNC Symbol;Acc:HGNC:32082]	MIR493	hsa-mir-493
chr14	100874493	100874585	+	ENSG00000199151	microRNA 337 [Source:HGNC Symbol;Acc:HGNC:31774]	MIR337	hsa-mir-337
chr14	100875033	100875104	+	ENSG00000283159	microRNA 665 [Source:HGNC Symbol;Acc:HGNC:33662]	MIR665	hsa-mir-665
chr14	100881007	100881120	+	ENSG00000208001	microRNA 431 [Source:HGNC Symbol;Acc:HGNC:32027]	MIR431	hsa-mir-431
chr14	100881886	100881978	+	ENSG00000207569	microRNA 433 [Source:HGNC Symbol;Acc:HGNC:32026]	MIR433	hsa-mir-433
chr14	100882979	100883075	+	ENSG00000207608	microRNA 127 [Source:HGNC Symbol;Acc:HGNC:31509]	MIR127	hsa-mir-127
chr14	100884483	100884576	+	ENSG00000272458	microRNA 432 [Source:HGNC Symbol;Acc:HGNC:32083]	MIR432	hsa-mir-432
chr14	100884702	100884783	+	ENSG00000207942	microRNA 136 [Source:HGNC Symbol;Acc:HGNC:31522]	MIR136	hsa-mir-136
chr14	100911139	100911213	+	ENSG00000199005	microRNA 370 [Source:HGNC Symbol;Acc:HGNC:31784]	MIR370	hsa-mir-370
chr14	101022066	101022132	+	ENSG00000199088	microRNA 379 [Source:HGNC Symbol;Acc:HGNC:31872]	MIR379	hsa-mir-379
chr14	101023325	101023420	+	ENSG00000199109	microRNA 411 [Source:HGNC Symbol;Acc:HGNC:32792]	MIR411	hsa-mir-411
chr14	101023794	101023856	+	ENSG00000207749	microRNA 299 [Source:HGNC Symbol;Acc:HGNC:31618]	MIR299	hsa-mir-299
chr14	101025017	101025077	+	ENSG00000198982	microRNA 380 [Source:HGNC Symbol;Acc:HGNC:31873]	MIR380	hsa-mir-380
chr14	101025564	101025651	+	ENSG00000221745	microRNA 1197 [Source:HGNC Symbol;Acc:HGNC:35376]	MIR1197	hsa-mir-1197
chr14	101025732	101025817	+	ENSG00000199069	microRNA 323a [Source:HGNC Symbol;Acc:HGNC:31766]	MIR323A	hsa-mir-323a
chr14	101026020	101026107	+	ENSG00000211582	microRNA 758 [Source:HGNC Symbol;Acc:HGNC:33133]	MIR758	hsa-mir-758
chr14	101026785	101026864	+	ENSG00000207761	microRNA 329-1 [Source:HGNC Symbol;Acc:HGNC:32050]	MIR329-1	hsa-mir-329-1
chr14	101027100	101027183	+	ENSG00000207762	microRNA 329-2 [Source:HGNC Symbol;Acc:HGNC:32051]	MIR329-2	hsa-mir-329-2
chr14	101029634	101029714	+	ENSG00000194717	microRNA 494 [Source:HGNC Symbol;Acc:HGNC:32084]	MIR494	hsa-mir-494
chr14	101030052	101030129	+	ENSG00000221036	microRNA 1193 [Source:HGNC Symbol;Acc:HGNC:38247]	MIR1193	hsa-mir-1193
chr14	101031987	101032064	+	ENSG00000212040	microRNA 543 [Source:HGNC Symbol;Acc:HGNC:33664]	MIR543	hsa-mir-543
chr14	101033755	101033836	+	ENSG00000207743	microRNA 495 [Source:HGNC Symbol;Acc:HGNC:32085]	MIR495	hsa-mir-495
chr14	101039690	101039755	+	ENSG00000283279	microRNA 376c [Source:HGNC Symbol;Acc:HGNC:31782]	MIR376C	hsa-mir-376c
chr14	101040069	101040148	+	ENSG00000283561	microRNA 376a-2 [Source:HGNC Symbol;Acc:HGNC:32532]	MIR376A2	hsa-mir-376a-2
chr14	101040219	101040299	+	ENSG00000207934	microRNA 654 [Source:HGNC Symbol;Acc:HGNC:32910]	MIR654	hsa-mir-654
chr14	101040436	101040535	+	ENSG00000283556	microRNA 376b [Source:HGNC Symbol;Acc:HGNC:32066]	MIR376B	hsa-mir-376b
chr14	101040782	101040849	+	ENSG00000283588	microRNA 376a-1 [Source:HGNC Symbol;Acc:HGNC:31869]	MIR376A1	hsa-mir-376a-1
chr14	101041363	101041445	+	ENSG00000215957	microRNA 300 [Source:HGNC Symbol;Acc:HGNC:33636]	MIR300	hsa-mir-300
chr14	101042977	101043062	+	ENSG00000221525	microRNA 1185-1 [Source:HGNC Symbol;Acc:HGNC:35257]	MIR1185-1	hsa-mir-1185-1
chr14	101044198	101044283	+	ENSG00000221614	microRNA 1185-2 [Source:HGNC Symbol;Acc:HGNC:35254]	MIR1185-2	hsa-mir-1185-2
chr14	101045920	101045994	+	ENSG00000199020	microRNA 381 [Source:HGNC Symbol;Acc:HGNC:31874]	MIR381	hsa-mir-381
chr14	101046455	101046538	+	ENSG00000207754	microRNA 487b [Source:HGNC Symbol;Acc:HGNC:32533]	MIR487B	hsa-mir-487b
chr14	101047321	101047398	+	ENSG00000202560	microRNA 539 [Source:HGNC Symbol;Acc:HGNC:32529]	MIR539	hsa-mir-539
chr14	101047901	101047979	+	ENSG00000216099	microRNA 889 [Source:HGNC Symbol;Acc:HGNC:33651]	MIR889	hsa-mir-889
chr14	101048658	101048748	+	ENSG00000207587	microRNA 544a [Source:HGNC Symbol;Acc:HGNC:32530]	MIR544A	hsa-mir-544a
chr14	101049550	101049646	+	ENSG00000207646	microRNA 655 [Source:HGNC Symbol;Acc:HGNC:32911]	MIR655	hsa-mir-655
chr14	101052446	101052525	+	ENSG00000207742	microRNA 487a [Source:HGNC Symbol;Acc:HGNC:32343]	MIR487A	hsa-mir-487a
chr14	101054306	101054381	+	ENSG00000283170	microRNA 382 [Source:HGNC Symbol;Acc:HGNC:31875]	MIR382	hsa-mir-382
chr14	101054687	101054759	+	ENSG00000207993	microRNA 134 [Source:HGNC Symbol;Acc:HGNC:31519]	MIR134	hsa-mir-134
chr14	101055258	101055323	+	ENSG00000276352	microRNA 668 [Source:HGNC Symbol;Acc:HGNC:33135]	MIR668	hsa-mir-668
chr14	101055419	101055491	+	ENSG00000208027	microRNA 485 [Source:HGNC Symbol;Acc:HGNC:32067]	MIR485	hsa-mir-485
chr14	101056219	101056300	+	ENSG00000208004	microRNA 323b [Source:HGNC Symbol;Acc:HGNC:38349]	MIR323B	hsa-mir-323b
chr14	101059755	101059838	+	ENSG00000207978	microRNA 154 [Source:HGNC Symbol;Acc:HGNC:31541]	MIR154	hsa-mir-154
chr14	101060573	101060674	+	ENSG00000207961	microRNA 496 [Source:HGNC Symbol;Acc:HGNC:32086]	MIR496	hsa-mir-496
chr14	101062050	101062118	+	ENSG00000199015	microRNA 377 [Source:HGNC Symbol;Acc:HGNC:31870]	MIR377	hsa-mir-377
chr14	101064495	101064578	+	ENSG00000216179	microRNA 541 [Source:HGNC Symbol;Acc:HGNC:33650]	MIR541	hsa-mir-541
chr14	101065300	101065378	+	ENSG00000199107	microRNA 409 [Source:HGNC Symbol;Acc:HGNC:32055]	MIR409	hsa-mir-409
chr14	101065447	101065537	+	ENSG00000199012	microRNA 412 [Source:HGNC Symbol;Acc:HGNC:32064]	MIR412	hsa-mir-412
chr14	101065598	101065667	+	ENSG00000199025	microRNA 369 [Source:HGNC Symbol;Acc:HGNC:31783]	MIR369	hsa-mir-369
chr14	101065912	101065991	+	ENSG00000199092	microRNA 410 [Source:HGNC Symbol;Acc:HGNC:32065]	MIR410	hsa-mir-410
chr14	101066724	101066801	+	ENSG00000207959	microRNA 656 [Source:HGNC Symbol;Acc:HGNC:32912]	MIR656	hsa-mir-656
chr14	101560287	101560422	-	ENSG00000283857	microRNA 1247 [Source:HGNC Symbol;Acc:HGNC:35313]	MIR1247	hsa-mir-1247
chr14	102539644	102539726	+	ENSG00000266015	microRNA 4309 [Source:HGNC Symbol;Acc:HGNC:38336]	MIR4309	hsa-mir-4309
chr14	104117405	104117514	+	ENSG00000207568	microRNA 203a [Source:HGNC Symbol;Acc:HGNC:31581]	MIR203A	hsa-mir-203a
chr14	104117418	104117503	-	ENSG00000283165	microRNA 203b [Source:HGNC Symbol;Acc:HGNC:41811]	MIR203B	hsa-mir-203b
chr14	104677694	104677749	-	ENSG00000265291	microRNA 4710 [Source:HGNC Symbol;Acc:HGNC:41727]	MIR4710	hsa-mir-4710
chr14	105150778	105150864	-	ENSG00000273778	microRNA 6765 [Source:HGNC Symbol;Acc:HGNC:50030]	MIR6765	hsa-mir-6765
chr14	105857513	105857572	-	ENSG00000265612	microRNA 4539 [Source:HGNC Symbol;Acc:HGNC:41546]	MIR4539	hsa-mir-4539
chr14	105858124	105858175	-	ENSG00000264024	microRNA 4507 [Source:HGNC Symbol;Acc:HGNC:41642]	MIR4507	hsa-mir-4507
chr14	105858165	105858242	-	ENSG00000263413	microRNA 4538 [Source:HGNC Symbol;Acc:HGNC:41664]	MIR4538	hsa-mir-4538
chr14	105859484	105859553	-	ENSG00000264781	microRNA 4537 [Source:HGNC Symbol;Acc:HGNC:41682]	MIR4537	hsa-mir-4537
chr14	106850885	106850999	-	ENSG00000265929	microRNA 5195 [Source:HGNC Symbol;Acc:HGNC:43526]	MIR5195	hsa-mir-5195
chr15	22225278	22225329	-	ENSG00000221641	microRNA 1268a [Source:HGNC Symbol;Acc:HGNC:35336]	MIR1268A	hsa-mir-1268a
chr15	23562062	23562131	-	ENSG00000265673	microRNA 4508 [Source:HGNC Symbol;Acc:HGNC:41659]	MIR4508	hsa-mir-4508
chr15	25848747	25848825	-	ENSG00000266517	microRNA 4715 [Source:HGNC Symbol;Acc:HGNC:41666]	MIR4715	hsa-mir-4715
chr15	31065032	31065141	-	ENSG00000207702	microRNA 211 [Source:HGNC Symbol;Acc:HGNC:31588]	MIR211	hsa-mir-211
chr15	35372256	35372364	-	ENSG00000265102	microRNA 3942 [Source:HGNC Symbol;Acc:HGNC:38976]	MIR3942	hsa-mir-3942
chr15	35926856	35926923	+	ENSG00000265098	microRNA 4510 [Source:HGNC Symbol;Acc:HGNC:41708]	MIR4510	hsa-mir-4510
chr15	36972821	36972901	-	ENSG00000277202	microRNA 8063 [Source:HGNC Symbol;Acc:HGNC:50088]	MIR8063	hsa-mir-8063
chr15	41691585	41691678	+	ENSG00000207766	microRNA 626 [Source:HGNC Symbol;Acc:HGNC:32882]	MIR626	hsa-mir-626
chr15	41866495	41866551	-	ENSG00000264850	microRNA 4310 [Source:HGNC Symbol;Acc:HGNC:38383]	MIR4310	hsa-mir-4310
chr15	42199570	42199666	-	ENSG00000207712	microRNA 627 [Source:HGNC Symbol;Acc:HGNC:32883]	MIR627	hsa-mir-627
chr15	43793659	43793759	-	ENSG00000221792	microRNA 1282 [Source:HGNC Symbol;Acc:HGNC:35360]	MIR1282	hsa-mir-1282
chr15	45433050	45433129	+	ENSG00000284386	microRNA 147b [Source:HGNC Symbol;Acc:HGNC:33655]	MIR147B	hsa-mir-147b
chr15	49169070	49169153	-	ENSG00000264210	microRNA 4716 [Source:HGNC Symbol;Acc:HGNC:41812]	MIR4716	hsa-mir-4716
chr15	50360329	50360410	+	ENSG00000284284	microRNA 4712 [Source:HGNC Symbol;Acc:HGNC:41732]	MIR4712	hsa-mir-4712
chr15	51242190	51242264	+	ENSG00000266593	microRNA 4713 [Source:HGNC Symbol;Acc:HGNC:41899]	MIR4713	hsa-mir-4713
chr15	51314032	51314107	-	ENSG00000283614	microRNA 7973-2 [Source:HGNC Symbol;Acc:HGNC:50080]	MIR7973-2	hsa-mir-7973-2
chr15	51314034	51314109	+	ENSG00000278098	microRNA 7973-1 [Source:HGNC Symbol;Acc:HGNC:50040]	MIR7973-1	hsa-mir-7973-1
chr15	52277117	52277200	-	ENSG00000221052	microRNA 1266 [Source:HGNC Symbol;Acc:HGNC:35334]	MIR1266	hsa-mir-1266
chr15	55372940	55373034	-	ENSG00000283891	microRNA 628 [Source:HGNC Symbol;Acc:HGNC:32884]	MIR628	hsa-mir-628
chr15	59171183	59171262	-	ENSG00000253030	microRNA 2116 [Source:HGNC Symbol;Acc:HGNC:37310]	MIR2116	hsa-mir-2116
chr15	62304658	62304734	-	ENSG00000277919	microRNA 8067 [Source:HGNC Symbol;Acc:HGNC:49934]	MIR8067	hsa-mir-8067
chr15	62343029	62343138	+	ENSG00000275451	microRNA 6085 [Source:HGNC Symbol;Acc:HGNC:50002]	MIR6085	hsa-mir-6085
chr15	62823957	62824041	+	ENSG00000211137	microRNA 190a [Source:HGNC Symbol;Acc:HGNC:31560]	MIR190A	hsa-mir-190a
chr15	63870930	63871019	-	ENSG00000199156	microRNA 422a [Source:HGNC Symbol;Acc:HGNC:31879]	MIR422A	hsa-mir-422a
chr15	64762387	64762515	-	ENSG00000221033	microRNA 1272 [Source:HGNC Symbol;Acc:HGNC:35339]	MIR1272	hsa-mir-1272
chr15	65719246	65719332	-	ENSG00000264737	microRNA 4511 [Source:HGNC Symbol;Acc:HGNC:41589]	MIR4511	hsa-mir-4511
chr15	66040233	66040332	+	ENSG00000263512	microRNA 4311 [Source:HGNC Symbol;Acc:HGNC:38207]	MIR4311	hsa-mir-4311
chr15	66496958	66497034	-	ENSG00000266589	microRNA 4512 [Source:HGNC Symbol;Acc:HGNC:41701]	MIR4512	hsa-mir-4512
chr15	68801850	68801925	-	ENSG00000265195	microRNA 4312 [Source:HGNC Symbol;Acc:HGNC:38376]	MIR4312	hsa-mir-4312
chr15	70079372	70079468	-	ENSG00000207965	microRNA 629 [Source:HGNC Symbol;Acc:HGNC:32885]	MIR629	hsa-mir-629
chr15	72587217	72587313	+	ENSG00000283798	microRNA 630 [Source:HGNC Symbol;Acc:HGNC:32886]	MIR630	hsa-mir-630
chr15	74411357	74411432	-	ENSG00000277391	microRNA 6881 [Source:HGNC Symbol;Acc:HGNC:50098]	MIR6881	hsa-mir-6881
chr15	74788672	74788757	-	ENSG00000264386	microRNA 4513 [Source:HGNC Symbol;Acc:HGNC:41855]	MIR4513	hsa-mir-4513
chr15	74840642	74840707	-	ENSG00000275411	microRNA 6882 [Source:HGNC Symbol;Acc:HGNC:49928]	MIR6882	hsa-mir-6882
chr15	75353611	75353685	-	ENSG00000284343	microRNA 631 [Source:HGNC Symbol;Acc:HGNC:32887]	MIR631	hsa-mir-631
chr15	75762215	75762315	-	ENSG00000284385	microRNA 4313 [Source:HGNC Symbol;Acc:HGNC:38310]	MIR4313	hsa-mir-4313
chr15	76586647	76586691	+	ENSG00000266449	microRNA 3713 [Source:HGNC Symbol;Acc:HGNC:38926]	MIR3713	hsa-mir-3713
chr15	79209788	79209871	+	ENSG00000207695	microRNA 184 [Source:HGNC Symbol;Acc:HGNC:31555]	MIR184	hsa-mir-184
chr15	80581103	80581239	+	ENSG00000284059	microRNA 5572 [Source:HGNC Symbol;Acc:HGNC:43476]	MIR5572	hsa-mir-5572
chr15	80841978	80842073	-	ENSG00000208003	microRNA 549a [Source:HGNC Symbol;Acc:HGNC:32803]	MIR549A	hsa-mir-549a
chr15	80997417	80997473	-	ENSG00000265855	microRNA 4514 [Source:HGNC Symbol;Acc:HGNC:41845]	MIR4514	hsa-mir-4514
chr15	83067335	83067415	+	ENSG00000263643	microRNA 4515 [Source:HGNC Symbol;Acc:HGNC:41800]	MIR4515	hsa-mir-4515
chr15	85380596	85380662	+	ENSG00000284160	microRNA 7706 [Source:HGNC Symbol;Acc:HGNC:50110]	MIR7706	hsa-mir-7706
chr15	85770496	85770578	-	ENSG00000221634	microRNA 1276 [Source:HGNC Symbol;Acc:HGNC:35347]	MIR1276	hsa-mir-1276
chr15	85825635	85825730	+	ENSG00000264406	microRNA 548ap [Source:HGNC Symbol;Acc:HGNC:43465]	MIR548AP	hsa-mir-548ap
chr15	88608107	88608197	+	ENSG00000221630	microRNA 1179 [Source:HGNC Symbol;Acc:HGNC:35260]	MIR1179	hsa-mir-1179
chr15	88611825	88611934	+	ENSG00000207703	microRNA 7-2 [Source:HGNC Symbol;Acc:HGNC:31639]	MIR7-2	hsa-mir-7-2
chr15	88611847	88611924	-	ENSG00000283484	microRNA 3529 [Source:HGNC Symbol;Acc:HGNC:41564]	MIR3529	hsa-mir-3529
chr15	89326739	89326810	-	ENSG00000275101	microRNA 6766 [Source:HGNC Symbol;Acc:HGNC:49941]	MIR6766	hsa-mir-6766
chr15	89368017	89368106	+	ENSG00000284329	microRNA 9-3 [Source:HGNC Symbol;Acc:HGNC:31646]	MIR9-3	hsa-mir-9-3
chr15	89850637	89850721	-	ENSG00000264966	microRNA 5094 [Source:HGNC Symbol;Acc:HGNC:43519]	MIR5094	hsa-mir-5094
chr15	89883931	89884030	-	ENSG00000264796	microRNA 5009 [Source:HGNC Symbol;Acc:HGNC:43458]	MIR5009	hsa-mir-5009
chr15	90006755	90006841	+	ENSG00000265871	microRNA 3174 [Source:HGNC Symbol;Acc:HGNC:38264]	MIR3174	hsa-mir-3174
chr15	92904399	92904475	+	ENSG00000284324	microRNA 3175 [Source:HGNC Symbol;Acc:HGNC:38299]	MIR3175	hsa-mir-3175
chr15	96333261	96333307	+	ENSG00000283888	microRNA 1469 [Source:HGNC Symbol;Acc:HGNC:35378]	MIR1469	hsa-mir-1469
chr15	98784426	98784502	+	ENSG00000264480	microRNA 4714 [Source:HGNC Symbol;Acc:HGNC:41763]	MIR4714	hsa-mir-4714
chr16	535316	535368	+	ENSG00000266124	microRNA 5587 [Source:HGNC Symbol;Acc:HGNC:43508]	MIR5587	hsa-mir-5587
chr16	543277	543366	+	ENSG00000266235	microRNA 3176 [Source:HGNC Symbol;Acc:HGNC:38345]	MIR3176	hsa-mir-3176
chr16	770183	770277	+	ENSG00000207579	microRNA 662 [Source:HGNC Symbol;Acc:HGNC:32918]	MIR662	hsa-mir-662
chr16	1734985	1735066	+	ENSG00000265820	microRNA 3177 [Source:HGNC Symbol;Acc:HGNC:38364]	MIR3177	hsa-mir-3177
chr16	2090195	2090284	-	ENSG00000221656	microRNA 1225 [Source:HGNC Symbol;Acc:HGNC:33931]	MIR1225	hsa-mir-1225
chr16	2106669	2106753	-	ENSG00000284008	microRNA 6511b-1 [Source:HGNC Symbol;Acc:HGNC:50228]	MIR6511B1	hsa-mir-6511b-1
chr16	2133119	2133204	+	ENSG00000265867	microRNA 4516 [Source:HGNC Symbol;Acc:HGNC:41617]	MIR4516	hsa-mir-4516
chr16	2135977	2136129	-	ENSG00000264397	microRNA 3180-5 [Source:HGNC Symbol;Acc:HGNC:38969]	MIR3180-5	hsa-mir-3180-5
chr16	2270713	2270772	+	ENSG00000266643	microRNA 3677 [Source:HGNC Symbol;Acc:HGNC:38932]	MIR3677	hsa-mir-3677
chr16	2271747	2271840	+	ENSG00000284346	microRNA 940 [Source:HGNC Symbol;Acc:HGNC:33683]	MIR940	hsa-mir-940
chr16	2274620	2274691	+	ENSG00000264004	microRNA 4717 [Source:HGNC Symbol;Acc:HGNC:41571]	MIR4717	hsa-mir-4717
chr16	2445392	2445457	+	ENSG00000283180	microRNA 6767 [Source:HGNC Symbol;Acc:HGNC:50133]	MIR6767	hsa-mir-6767
chr16	2463967	2464038	+	ENSG00000274805	microRNA 6768 [Source:HGNC Symbol;Acc:HGNC:50264]	MIR6768	hsa-mir-6768
chr16	2531922	2532005	-	ENSG00000266232	microRNA 3178 [Source:HGNC Symbol;Acc:HGNC:38381]	MIR3178	hsa-mir-3178
chr16	3485381	3485469	-	ENSG00000273776	microRNA 6126 [Source:HGNC Symbol;Acc:HGNC:50099]	MIR6126	hsa-mir-6126
chr16	4671318	4671390	+	ENSG00000276641	microRNA 6769a [Source:HGNC Symbol;Acc:HGNC:50079]	MIR6769A	hsa-mir-6769a
chr16	5632467	5632566	+	ENSG00000273648	microRNA 8065 [Source:HGNC Symbol;Acc:HGNC:49959]	MIR8065	hsa-mir-8065
chr16	11306440	11306527	-	ENSG00000221801	microRNA 548h-2 [Source:HGNC Symbol;Acc:HGNC:35343]	MIR548H2	hsa-mir-548h-2
chr16	12720321	12720371	+	ENSG00000264733	microRNA 4718 [Source:HGNC Symbol;Acc:HGNC:41900]	MIR4718	hsa-mir-4718
chr16	14303967	14304049	+	ENSG00000207639	microRNA 193b [Source:HGNC Symbol;Acc:HGNC:32087]	MIR193B	hsa-mir-193b
chr16	14309285	14309371	+	ENSG00000199130	microRNA 365a [Source:HGNC Symbol;Acc:HGNC:33692]	MIR365A	hsa-mir-365a
chr16	15134075	15134145	-	ENSG00000283346	microRNA 6511b-2 [Source:HGNC Symbol;Acc:HGNC:50230]	MIR6511B2	hsa-mir-6511b-2
chr16	15154850	15155002	-	ENSG00000264115	microRNA 3180-4 [Source:HGNC Symbol;Acc:HGNC:38920]	MIR3180-4	hsa-mir-3180-4
chr16	15611030	15611095	-	ENSG00000284184	microRNA 6506 [Source:HGNC Symbol;Acc:HGNC:50158]	MIR6506	hsa-mir-6506
chr16	15643294	15643372	+	ENSG00000283736	microRNA 484 [Source:HGNC Symbol;Acc:HGNC:32341]	MIR484	hsa-mir-484
chr16	16309879	16309966	+	ENSG00000265373	microRNA 3180-2 [Source:HGNC Symbol;Acc:HGNC:38343]	MIR3180-2	hsa-mir-3180-2
chr16	24203116	24203231	+	ENSG00000274466	microRNA 1273h [Source:HGNC Symbol;Acc:HGNC:49973]	MIR1273H	hsa-mir-1273h
chr16	26025237	26025310	+	ENSG00000265005	microRNA 548w [Source:HGNC Symbol;Acc:HGNC:38255]	MIR548W	hsa-mir-548w
chr16	28843919	28844007	-	ENSG00000283845	microRNA 4721 [Source:HGNC Symbol;Acc:HGNC:41609]	MIR4721	hsa-mir-4721
chr16	28958583	28958661	+	ENSG00000284541	microRNA 4517 [Source:HGNC Symbol;Acc:HGNC:41878]	MIR4517	hsa-mir-4517
chr16	30503919	30504001	+	ENSG00000266305	microRNA 4518 [Source:HGNC Symbol;Acc:HGNC:41809]	MIR4518	hsa-mir-4518
chr16	30875266	30875323	-	ENSG00000265991	microRNA 4519 [Source:HGNC Symbol;Acc:HGNC:41544]	MIR4519	hsa-mir-4519
chr16	30893903	30893985	+	ENSG00000211591	microRNA 762 [Source:HGNC Symbol;Acc:HGNC:37303]	MIR762	hsa-mir-762
chr16	50292616	50292675	+	ENSG00000274969	microRNA 6771 [Source:HGNC Symbol;Acc:HGNC:50212]	MIR6771	hsa-mir-6771
chr16	50742305	50742377	+	ENSG00000264947	microRNA 3181 [Source:HGNC Symbol;Acc:HGNC:38378]	MIR3181	hsa-mir-3181
chr16	56245520	56245623	+	ENSG00000265281	microRNA 3935 [Source:HGNC Symbol;Acc:HGNC:38918]	MIR3935	hsa-mir-3935
chr16	56858518	56858601	+	ENSG00000207649	microRNA 138-2 [Source:HGNC Symbol;Acc:HGNC:31525]	MIR138-2	hsa-mir-138-2
chr16	56904264	56904353	+	ENSG00000283471	microRNA 6863 [Source:HGNC Symbol;Acc:HGNC:49942]	MIR6863	hsa-mir-6863
chr16	57772289	57772352	-	ENSG00000274816	microRNA 6772 [Source:HGNC Symbol;Acc:HGNC:50064]	MIR6772	hsa-mir-6772
chr16	67202321	67202395	-	ENSG00000207948	microRNA 328 [Source:HGNC Symbol;Acc:HGNC:31770]	MIR328	hsa-mir-328
chr16	68233426	68233499	-	ENSG00000284259	microRNA 6773 [Source:HGNC Symbol;Acc:HGNC:50132]	MIR6773	hsa-mir-6773
chr16	69565808	69565868	-	ENSG00000223109	microRNA 1538 [Source:HGNC Symbol;Acc:HGNC:35382]	MIR1538	hsa-mir-1538
chr16	69933081	69933180	+	ENSG00000208017	microRNA 140 [Source:HGNC Symbol;Acc:HGNC:31527]	MIR140	hsa-mir-140
chr16	76868936	76869019	+	ENSG00000266426	microRNA 4719 [Source:HGNC Symbol;Acc:HGNC:41807]	MIR4719	hsa-mir-4719
chr16	81385018	81385093	+	ENSG00000284473	microRNA 4720 [Source:HGNC Symbol;Acc:HGNC:41705]	MIR4720	hsa-mir-4720
chr16	81533902	81533966	+	ENSG00000277255	microRNA 7854 [Source:HGNC Symbol;Acc:HGNC:50047]	MIR7854	hsa-mir-7854
chr16	81611348	81611408	+	ENSG00000275109	microRNA 6504 [Source:HGNC Symbol;Acc:HGNC:49976]	MIR6504	hsa-mir-6504
chr16	82688931	82689019	+	ENSG00000277387	microRNA 8058 [Source:HGNC Symbol;Acc:HGNC:50018]	MIR8058	hsa-mir-8058
chr16	83508346	83508408	+	ENSG00000263785	microRNA 3182 [Source:HGNC Symbol;Acc:HGNC:38317]	MIR3182	hsa-mir-3182
chr16	85306226	85306325	-	ENSG00000266307	microRNA 5093 [Source:HGNC Symbol;Acc:HGNC:43474]	MIR5093	hsa-mir-5093
chr16	85741621	85741700	-	ENSG00000283416	microRNA 1910 [Source:HGNC Symbol;Acc:HGNC:35394]	MIR1910	hsa-mir-1910
chr16	85918347	85918416	+	ENSG00000274134	microRNA 6774 [Source:HGNC Symbol;Acc:HGNC:50202]	MIR6774	hsa-mir-6774
chr16	87834592	87834660	-	ENSG00000278598	microRNA 6775 [Source:HGNC Symbol;Acc:HGNC:50100]	MIR6775	hsa-mir-6775
